Name,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Leandro Barbosa,2014-15,32,GSW,NBA,SG,66,1,982,6.7,14.2,.474,1.6,4.1,.384,5.1,10.0,.511,2.1,2.7,.784,0.8,2.5,3.3,3.6,1.5,0.3,1.6,3.2,17.1
Leandro Barbosa,2015-16,33,GSW,NBA,SG,68,0,1079,5.7,12.3,.462,1.3,3.7,.355,4.4,8.7,.508,1.7,2.1,.839,0.9,3.0,3.9,2.7,1.5,0.3,1.8,3.6,14.4
Ian Clark,2015-16,24,GSW,NBA,SG,66,1,578,5.5,12.6,.441,1.9,5.2,.357,3.7,7.3,.500,1.7,2.1,.824,0.8,3.4,4.2,4.0,1.1,0.8,2.7,3.6,14.7
Draymond Green,2012-13,22,GSW,NBA,SF,79,1,1061,2.9,8.7,.327,0.5,2.3,.209,2.4,6.4,.368,1.5,1.9,.818,2.0,6.9,8.8,1.8,1.4,0.8,1.7,5.4,7.7
Draymond Green,2013-14,23,GSW,NBA,SF,82,12,1797,3.7,9.2,.407,1.1,3.3,.333,2.6,5.9,.449,1.6,2.5,.667,1.7,6.5,8.2,3.0,2.0,1.4,1.8,4.6,10.2
Draymond Green,2014-15,24,GSW,NBA,PF,79,79,2490,4.9,11.1,.443,1.6,4.8,.337,3.3,6.3,.523,1.9,2.9,.660,1.6,7.7,9.4,4.2,1.8,1.4,1.9,3.7,13.3
Draymond Green,2015-16,25,GSW,NBA,PF,81,81,2808,5.1,10.5,.490,1.3,3.3,.388,3.9,7.2,.537,2.9,4.2,.696,1.7,8.1,9.9,7.7,1.5,1.4,3.3,3.1,14.5
Kevon Looney,2015-16,19,GSW,NBA,PF,5,0,21,6.9,12.0,.571,1.7,3.4,.500,5.1,8.6,.600,0.0,0.0,,6.9,10.3,17.1,0.0,0.0,0.0,1.7,3.4,15.4
Marreese Speights,2013-14,26,GSW,NBA,C,79,3,982,7.1,16.2,.441,0.3,1.1,.258,6.9,15.1,.455,4.0,4.9,.821,3.7,6.9,10.6,1.2,0.4,1.2,2.4,5.4,18.6
Marreese Speights,2014-15,27,GSW,NBA,PF,76,9,1207,9.5,19.3,.492,0.1,0.5,.278,9.3,18.7,.498,4.5,5.3,.843,3.3,6.4,9.7,2.1,0.6,1.0,2.4,5.6,23.6
Marreese Speights,2015-16,28,GSW,NBA,PF,72,0,832,8.5,19.7,.432,1.0,2.7,.387,7.5,17.0,.439,4.1,4.9,.825,3.3,7.0,10.3,2.6,0.8,1.5,2.9,5.1,22.2
Harrison Barnes,2012-13,20,GSW,NBA,SF,81,81,2058,4.8,11.0,.439,0.9,2.5,.359,3.9,8.4,.464,2.5,3.3,.758,0.9,4.9,5.8,1.7,0.9,0.2,1.8,2.4,13.1
Harrison Barnes,2013-14,21,GSW,NBA,SF,78,24,2204,4.4,11.1,.399,1.1,3.1,.347,3.3,8.0,.419,2.1,3.0,.718,1.1,4.0,5.1,1.9,1.1,0.3,1.4,2.6,12.1
Harrison Barnes,2014-15,22,GSW,NBA,SF,82,82,2318,4.9,10.2,.482,1.4,3.3,.405,3.6,6.8,.519,1.7,2.3,.720,1.8,5.2,7.0,1.8,0.9,0.3,1.1,2.3,12.8
Harrison Barnes,2015-16,23,GSW,NBA,SF,66,59,2042,5.2,11.2,.466,1.4,3.8,.383,3.8,7.4,.508,1.8,2.4,.761,1.4,4.4,5.7,2.1,0.7,0.2,1.0,2.4,13.6
Stephen Curry,2009-10,21,GSW,NBA,PG,80,77,2896,6.6,14.2,.462,2.1,4.7,.437,4.5,9.5,.474,2.2,2.5,.885,0.6,3.8,4.4,5.9,1.9,0.2,3.0,3.1,17.4
Stephen Curry,2010-11,22,GSW,NBA,PG,74,74,2489,7.3,15.2,.480,2.2,4.9,.442,5.1,10.3,.498,3.1,3.3,.934,0.8,3.4,4.1,6.2,1.6,0.3,3.3,3.4,19.9
Stephen Curry,2011-12,23,GSW,NBA,PG,26,23,732,7.1,14.6,.490,2.7,6.0,.455,4.4,8.6,.514,1.9,2.3,.809,0.7,3.6,4.3,6.8,1.9,0.4,3.2,3.0,18.8
Stephen Curry,2012-13,24,GSW,NBA,PG,78,78,2983,7.6,16.8,.451,3.3,7.2,.453,4.3,9.5,.449,3.2,3.5,.900,0.7,3.1,3.8,6.5,1.5,0.1,2.9,2.4,21.6
Stephen Curry,2013-14,25,GSW,NBA,PG,78,78,2846,8.2,17.5,.471,3.3,7.8,.424,4.9,9.7,.509,3.9,4.4,.885,0.6,3.6,4.2,8.4,1.6,0.2,3.7,2.5,23.7
